"F_AREA";"scientificName";"LON";"LAT";"YEAR";"occurrenceStatus";"bathymetry"
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";17.8332996368;-32.8166999817;2002;1;-46.9949989318848
"27";"Thunnus alalunga";-41.5;48.43;2002;1;-4480.0576171875
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2004;1;-16.25
"31";"Thunnus alalunga";-93.55;26.93;2003;1;-1338.58947753906
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"21";"Thunnus alalunga";-47.91;44.58;2001;1;-3528.99755859375
"31";"Thunnus alalunga";-75.06;34.25;2001;1;-3215.3251953125
"21";"Thunnus alalunga";-74.26;37.53;2001;1;-779.660278320312
"21";"Thunnus alalunga";-72.13;39.16;2000;1;-1408.46899414062
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4167003632;-33.9000015259;2001;1;-13.6800003051758
"21";"Thunnus alalunga";-71.8;39.6;2001;1;-996.22802734375
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"31";"Thunnus alalunga";-54.9166679382;18.1083335876;2000;1;-5165.9951171875
"21";"Thunnus alalunga";-70.25;39.86;2001;1;-1324.54150390625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-91.53;26.41;2002;1;-2136.54638671875
"21";"Thunnus alalunga";-72.35;39.18;2000;1;-758.631896972656
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-45.01;13.3;2001;1;-3189.37182617188
"21";"Thunnus alalunga";-71.2916679382;39.8666648865;2003;1;-659.148742675781
"47";"Thunnus alalunga";17.1173992157;-29.9335002899;2002;1;-25.2474994659424
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"21";"Thunnus alalunga";-70.15;39.85;2002;1;-1186.83142089844
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2001;1;-16.25
"31";"Thunnus alalunga";-73.68;20.3;2001;1;-1552.93994140625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.146900177;-33.3507995605;2002;1;-8.89500045776367
"47";"Thunnus alalunga";18.4349994659;-33.9028015137;2000;1;-16.0599994659424
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"31";"Thunnus alalunga";-75.28;34.08;2001;1;-3086.40771484375
"21";"Thunnus alalunga";-73.2000007629;38.4416656494;2005;1;-1711.09497070312
"21";"Thunnus alalunga";-72.13;39.28;2001;1;-863.443420410156
"21";"Thunnus alalunga";-66.9500007629;40.5249996185;2001;1;-1571.09936523438
"31";"Thunnus alalunga";-77.21;28.58;2001;1;-1052.74755859375
"31";"Thunnus alalunga";-78.66;27.53;2004;1;-538.809997558594
"21";"Thunnus alalunga";-70.3083305359;39.875;2002;1;-744.525024414062
"21";"Thunnus alalunga";-66.65;40.78;2002;1;-938.696411132812
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"27";"Thunnus alalunga";-28.3359;38.15066667;2011;1;-1784.75463867188
"31";"Thunnus alalunga";-77.8;29.05;2003;1;-975.557495117188
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"34";"Thunnus alalunga";-38.01;6.33;2002;1;-4535.6826171875
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";15.3919000626;-27.4584999084;2005;1;-1.55750000476837
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"31";"Thunnus alalunga";-77.3;28.41;2003;1;-1052.55749511719
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"31";"Thunnus alalunga";-90.1;26.8;2001;1;-2631.68798828125
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"31";"Thunnus alalunga";-77.6833343506;28.5249996185;2002;1;-1018.61999511719
"21";"Thunnus alalunga";-71.7;39.76;2004;1;-739.012390136719
"21";"Thunnus alalunga";-72.08;39.41;2002;1;-762.851440429688
"27";"Thunnus alalunga";-30.25673333;37.56968333;2012;1;-1229.18884277344
"21";"Thunnus alalunga";-70.5750007629;39.8249988556;2003;1;-937.103637695312
"21";"Thunnus alalunga";-70.15;39.85;2002;1;-1186.83142089844
"31";"Thunnus alalunga";-74.83;34.33;2001;1;-3305.5537109375
"21";"Thunnus alalunga";-73.86;38.01;2004;1;-527.106323242188
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"27";"Thunnus alalunga";-28;38.71666667;2000;1;-972.327575683594
"21";"Thunnus alalunga";-43.11;45.16;2000;1;-4740.6826171875
"21";"Thunnus alalunga";-71.38;39.8;2002;1;-942.979125976562
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"31";"Thunnus alalunga";-77.98;28.36;2001;1;-1011.74499511719
"31";"Thunnus alalunga";-78.0500030518;28.4583330154;2005;1;-1008.68249511719
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"21";"Thunnus alalunga";-71.5;39.86;2003;1;-484.0673828125
"21";"Thunnus alalunga";-71.8416671753;39.6833343506;2003;1;-600.3095703125
"21";"Thunnus alalunga";-68.5;40.05;2004;1;-1630.56555175781
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"21";"Thunnus alalunga";-66.9;40.65;2002;1;-316.660888671875
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4349994659;-33.9028015137;2000;1;-16.0599994659424
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"21";"Thunnus alalunga";-71.25;39.96;2002;1;-379.845428466797
"21";"Thunnus alalunga";-72.18;39.1;2001;1;-1633.92639160156
"21";"Thunnus alalunga";-72.15;39.36;2005;1;-963.475463867188
"31";"Thunnus alalunga";-89.88;26.96;2005;1;-2413.32543945312
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2003;1;-16.25
"47";"Thunnus alalunga";18.4167003632;-33.9000015259;2001;1;-13.6800003051758
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"21";"Thunnus alalunga";-73.7000007629;37.9833316803;2001;1;-1116.60144042969
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
